id,title,slug
1,Drama,drama
2,Musik,musik
3,Thriller,thriller
4,Børne & familiefilm,boerne-familiefilm
5,Science fiction,science-fiction
6,Komedie,komedie
7,Action,action
8,Western,western
9,Adventure,adventure
10,Disney & Pixar,disney-pixar
11,Danske film,danske-film
12,Gysere,gysere
13,Romantik,romantik
14,Vintage,vintage
15,Agent 007,agent-007
16,Krigsfilm,krigsfilm
17,Dokumentar,dokumentar
18,Krimi & thriller,krimi-thriller
19,Store filmplakater,store-filmplakater
20,Karatefilm,karatefilm
22,Marvel & DC Comics,marvel-dc-comics
23,Film programmer,film-programmer
